date,city,aqi,pm25,data_source
2020-08-17,Hyderabad,30.0,12.0,synthetic_realistic
2020-08-18,Hyderabad,49.0,19.7,synthetic_realistic
2020-08-19,Hyderabad,48.0,19.2,synthetic_realistic
2020-08-20,Hyderabad,55.0,22.0,synthetic_realistic
2020-08-21,Hyderabad,35.0,13.9,synthetic_realistic
2020-08-22,Hyderabad,30.0,12.0,synthetic_realistic
2020-08-23,Hyderabad,33.0,13.1,synthetic_realistic
2020-08-24,Hyderabad,51.0,20.4,synthetic_realistic
2020-08-25,Hyderabad,37.0,14.9,synthetic_realistic
2020-08-26,Hyderabad,37.0,14.9,synthetic_realistic
2020-08-27,Hyderabad,67.0,26.7,synthetic_realistic
2020-08-28,Hyderabad,33.0,13.2,synthetic_realistic
2020-08-29,Hyderabad,30.0,12.0,synthetic_realistic
2020-08-30,Hyderabad,30.0,12.0,synthetic_realistic
2020-08-31,Hyderabad,58.0,23.0,synthetic_realistic
2020-09-01,Hyderabad,85.0,33.9,synthetic_realistic
2020-09-02,Hyderabad,33.0,13.3,synthetic_realistic
2020-09-03,Hyderabad,36.0,14.5,synthetic_realistic
2020-09-04,Hyderabad,55.0,22.0,synthetic_realistic
2020-09-05,Hyderabad,39.0,15.6,synthetic_realistic
2020-09-06,Hyderabad,55.0,21.9,synthetic_realistic
2020-09-07,Hyderabad,52.0,20.8,synthetic_realistic
2020-09-08,Hyderabad,35.0,14.2,synthetic_realistic
2020-09-09,Hyderabad,65.0,25.8,synthetic_realistic
2020-09-10,Hyderabad,48.0,19.1,synthetic_realistic
2020-09-11,Hyderabad,65.0,25.9,synthetic_realistic
2020-09-12,Hyderabad,30.0,12.0,synthetic_realistic
2020-09-13,Hyderabad,42.0,16.7,synthetic_realistic
2020-09-14,Hyderabad,46.0,18.5,synthetic_realistic
2020-09-15,Hyderabad,70.0,28.0,synthetic_realistic
2020-09-16,Hyderabad,45.0,18.0,synthetic_realistic
2020-09-17,Hyderabad,73.0,29.0,synthetic_realistic
2020-09-18,Hyderabad,47.0,19.0,synthetic_realistic
2020-09-19,Hyderabad,60.0,23.9,synthetic_realistic
2020-09-20,Hyderabad,69.0,27.5,synthetic_realistic
2020-09-21,Hyderabad,57.0,22.9,synthetic_realistic
2020-09-22,Hyderabad,60.0,24.2,synthetic_realistic
2020-09-23,Hyderabad,34.0,13.6,synthetic_realistic
2020-09-24,Hyderabad,102.0,40.6,synthetic_realistic
2020-09-25,Hyderabad,64.0,25.5,synthetic_realistic
2020-09-26,Hyderabad,46.0,18.5,synthetic_realistic
2020-09-27,Hyderabad,72.0,28.8,synthetic_realistic
2020-09-28,Hyderabad,74.0,29.6,synthetic_realistic
2020-09-29,Hyderabad,78.0,31.3,synthetic_realistic
2020-09-30,Hyderabad,78.0,31.1,synthetic_realistic
2020-10-01,Hyderabad,58.0,23.3,synthetic_realistic
2020-10-02,Hyderabad,46.0,18.3,synthetic_realistic
2020-10-03,Hyderabad,75.0,30.1,synthetic_realistic
2020-10-04,Hyderabad,83.0,33.1,synthetic_realistic
2020-10-05,Hyderabad,80.0,32.0,synthetic_realistic
2020-10-06,Hyderabad,58.0,23.0,synthetic_realistic
2020-10-07,Hyderabad,64.0,25.4,synthetic_realistic
2020-10-08,Hyderabad,103.0,41.3,synthetic_realistic
2020-10-09,Hyderabad,57.0,22.9,synthetic_realistic
2020-10-10,Hyderabad,62.0,24.7,synthetic_realistic
2020-10-11,Hyderabad,59.0,23.8,synthetic_realistic
2020-10-12,Hyderabad,81.0,32.6,synthetic_realistic
2020-10-13,Hyderabad,73.0,29.3,synthetic_realistic
2020-10-14,Hyderabad,63.0,25.4,synthetic_realistic
2020-10-15,Hyderabad,72.0,28.9,synthetic_realistic
2020-10-16,Hyderabad,64.0,25.6,synthetic_realistic
2020-10-17,Hyderabad,70.0,28.0,synthetic_realistic
2020-10-18,Hyderabad,84.0,33.6,synthetic_realistic
2020-10-19,Hyderabad,73.0,29.2,synthetic_realistic
2020-10-20,Hyderabad,56.0,22.2,synthetic_realistic
2020-10-21,Hyderabad,68.0,27.0,synthetic_realistic
2020-10-22,Hyderabad,86.0,34.3,synthetic_realistic
2020-10-23,Hyderabad,97.0,38.9,synthetic_realistic
2020-10-24,Hyderabad,84.0,33.7,synthetic_realistic
2020-10-25,Hyderabad,73.0,29.1,synthetic_realistic
2020-10-26,Hyderabad,92.0,37.0,synthetic_realistic
2020-10-27,Hyderabad,85.0,34.1,synthetic_realistic
2020-10-28,Hyderabad,80.0,32.1,synthetic_realistic
2020-10-29,Hyderabad,103.0,41.3,synthetic_realistic
2020-10-30,Hyderabad,94.0,37.5,synthetic_realistic
2020-10-31,Hyderabad,64.0,25.7,synthetic_realistic
2020-11-01,Hyderabad,85.0,34.0,synthetic_realistic
2020-11-02,Hyderabad,99.0,39.6,synthetic_realistic
2020-11-03,Hyderabad,92.0,36.9,synthetic_realistic
2020-11-04,Hyderabad,70.0,28.1,synthetic_realistic
2020-11-05,Hyderabad,110.0,43.9,synthetic_realistic
2020-11-06,Hyderabad,106.0,42.5,synthetic_realistic
2020-11-07,Hyderabad,88.0,35.1,synthetic_realistic
2020-11-08,Hyderabad,63.0,25.2,synthetic_realistic
2020-11-09,Hyderabad,55.0,21.9,synthetic_realistic
2020-11-10,Hyderabad,116.0,46.2,synthetic_realistic
2020-11-11,Hyderabad,99.0,39.4,synthetic_realistic
2020-11-12,Hyderabad,94.0,37.4,synthetic_realistic
2020-11-13,Hyderabad,83.0,33.1,synthetic_realistic
2020-11-14,Hyderabad,91.0,36.4,synthetic_realistic
2020-11-15,Hyderabad,92.0,36.9,synthetic_realistic
2020-11-16,Hyderabad,123.0,49.2,synthetic_realistic
2020-11-17,Hyderabad,99.0,39.4,synthetic_realistic
2020-11-18,Hyderabad,104.0,41.8,synthetic_realistic
2020-11-19,Hyderabad,112.0,44.9,synthetic_realistic
2020-11-20,Hyderabad,112.0,44.8,synthetic_realistic
2020-11-21,Hyderabad,79.0,31.8,synthetic_realistic
2020-11-22,Hyderabad,94.0,37.7,synthetic_realistic
2020-11-23,Hyderabad,123.0,49.1,synthetic_realistic
2020-11-24,Hyderabad,85.0,33.9,synthetic_realistic
2020-11-25,Hyderabad,86.0,34.4,synthetic_realistic
2020-11-26,Hyderabad,105.0,42.1,synthetic_realistic
2020-11-27,Hyderabad,113.0,45.3,synthetic_realistic
2020-11-28,Hyderabad,96.0,38.3,synthetic_realistic
2020-11-29,Hyderabad,103.0,41.3,synthetic_realistic
2020-11-30,Hyderabad,103.0,41.3,synthetic_realistic
2020-12-01,Hyderabad,80.0,31.9,synthetic_realistic
2020-12-02,Hyderabad,106.0,42.4,synthetic_realistic
2020-12-03,Hyderabad,115.0,46.1,synthetic_realistic
2020-12-04,Hyderabad,134.0,53.5,synthetic_realistic
2020-12-05,Hyderabad,110.0,44.0,synthetic_realistic
2020-12-06,Hyderabad,80.0,32.0,synthetic_realistic
2020-12-07,Hyderabad,110.0,43.9,synthetic_realistic
2020-12-08,Hyderabad,124.0,49.6,synthetic_realistic
2020-12-09,Hyderabad,113.0,45.2,synthetic_realistic
2020-12-10,Hyderabad,102.0,40.9,synthetic_realistic
2020-12-11,Hyderabad,118.0,47.2,synthetic_realistic
2020-12-12,Hyderabad,94.0,37.7,synthetic_realistic
2020-12-13,Hyderabad,94.0,37.7,synthetic_realistic
2020-12-14,Hyderabad,106.0,42.3,synthetic_realistic
2020-12-15,Hyderabad,87.0,34.6,synthetic_realistic
2020-12-16,Hyderabad,118.0,47.2,synthetic_realistic
2020-12-17,Hyderabad,133.0,53.1,synthetic_realistic
2020-12-18,Hyderabad,112.0,44.7,synthetic_realistic
2020-12-19,Hyderabad,100.0,40.0,synthetic_realistic
2020-12-20,Hyderabad,118.0,47.1,synthetic_realistic
2020-12-21,Hyderabad,111.0,44.4,synthetic_realistic
2020-12-22,Hyderabad,87.0,35.0,synthetic_realistic
2020-12-23,Hyderabad,113.0,45.3,synthetic_realistic
2020-12-24,Hyderabad,105.0,41.8,synthetic_realistic
2020-12-25,Hyderabad,110.0,43.8,synthetic_realistic
2020-12-26,Hyderabad,120.0,48.0,synthetic_realistic
2020-12-27,Hyderabad,99.0,39.6,synthetic_realistic
2020-12-28,Hyderabad,125.0,49.8,synthetic_realistic
2020-12-29,Hyderabad,146.0,58.5,synthetic_realistic
2020-12-30,Hyderabad,116.0,46.5,synthetic_realistic
2020-12-31,Hyderabad,136.0,54.5,synthetic_realistic
2021-01-01,Hyderabad,118.0,47.2,synthetic_realistic
2021-01-02,Hyderabad,135.0,54.1,synthetic_realistic
2021-01-03,Hyderabad,97.0,38.6,synthetic_realistic
2021-01-04,Hyderabad,107.0,42.9,synthetic_realistic
2021-01-05,Hyderabad,121.0,48.2,synthetic_realistic
2021-01-06,Hyderabad,84.0,33.5,synthetic_realistic
2021-01-07,Hyderabad,106.0,42.4,synthetic_realistic
2021-01-08,Hyderabad,107.0,43.0,synthetic_realistic
2021-01-09,Hyderabad,110.0,44.2,synthetic_realistic
2021-01-10,Hyderabad,98.0,39.3,synthetic_realistic
2021-01-11,Hyderabad,99.0,39.8,synthetic_realistic
2021-01-12,Hyderabad,152.0,60.7,synthetic_realistic
2021-01-13,Hyderabad,94.0,37.4,synthetic_realistic
2021-01-14,Hyderabad,105.0,41.9,synthetic_realistic
2021-01-15,Hyderabad,133.0,53.2,synthetic_realistic
2021-01-16,Hyderabad,127.0,50.9,synthetic_realistic
2021-01-17,Hyderabad,99.0,39.6,synthetic_realistic
2021-01-18,Hyderabad,87.0,34.8,synthetic_realistic
2021-01-19,Hyderabad,105.0,42.1,synthetic_realistic
2021-01-20,Hyderabad,122.0,48.8,synthetic_realistic
2021-01-21,Hyderabad,122.0,48.7,synthetic_realistic
2021-01-22,Hyderabad,103.0,41.1,synthetic_realistic
2021-01-23,Hyderabad,109.0,43.6,synthetic_realistic
2021-01-24,Hyderabad,99.0,39.5,synthetic_realistic
2021-01-25,Hyderabad,116.0,46.2,synthetic_realistic
2021-01-26,Hyderabad,126.0,50.3,synthetic_realistic
2021-01-27,Hyderabad,112.0,44.9,synthetic_realistic
2021-01-28,Hyderabad,105.0,42.2,synthetic_realistic
2021-01-29,Hyderabad,110.0,44.0,synthetic_realistic
2021-01-30,Hyderabad,137.0,54.7,synthetic_realistic
2021-01-31,Hyderabad,81.0,32.3,synthetic_realistic
2021-02-01,Hyderabad,109.0,43.7,synthetic_realistic
2021-02-02,Hyderabad,97.0,38.6,synthetic_realistic
2021-02-03,Hyderabad,108.0,43.2,synthetic_realistic
2021-02-04,Hyderabad,106.0,42.2,synthetic_realistic
2021-02-05,Hyderabad,93.0,37.3,synthetic_realistic
2021-02-06,Hyderabad,113.0,45.4,synthetic_realistic
2021-02-07,Hyderabad,100.0,39.9,synthetic_realistic
2021-02-08,Hyderabad,70.0,27.9,synthetic_realistic
2021-02-09,Hyderabad,108.0,43.3,synthetic_realistic
2021-02-10,Hyderabad,107.0,42.9,synthetic_realistic
2021-02-11,Hyderabad,94.0,37.5,synthetic_realistic
2021-02-12,Hyderabad,120.0,47.9,synthetic_realistic
2021-02-13,Hyderabad,88.0,35.3,synthetic_realistic
2021-02-14,Hyderabad,102.0,40.9,synthetic_realistic
2021-02-15,Hyderabad,77.0,30.7,synthetic_realistic
2021-02-16,Hyderabad,112.0,44.8,synthetic_realistic
2021-02-17,Hyderabad,123.0,49.1,synthetic_realistic
2021-02-18,Hyderabad,87.0,34.9,synthetic_realistic
2021-02-19,Hyderabad,129.0,51.7,synthetic_realistic
2021-02-20,Hyderabad,91.0,36.3,synthetic_realistic
2021-02-21,Hyderabad,98.0,39.2,synthetic_realistic
2021-02-22,Hyderabad,82.0,33.0,synthetic_realistic
2021-02-23,Hyderabad,99.0,39.7,synthetic_realistic
2021-02-24,Hyderabad,114.0,45.6,synthetic_realistic
2021-02-25,Hyderabad,96.0,38.3,synthetic_realistic
2021-02-26,Hyderabad,87.0,34.8,synthetic_realistic
2021-02-27,Hyderabad,76.0,30.2,synthetic_realistic
2021-02-28,Hyderabad,95.0,37.9,synthetic_realistic
2021-03-01,Hyderabad,97.0,38.7,synthetic_realistic
2021-03-02,Hyderabad,86.0,34.5,synthetic_realistic
2021-03-03,Hyderabad,81.0,32.4,synthetic_realistic
2021-03-04,Hyderabad,95.0,38.2,synthetic_realistic
2021-03-05,Hyderabad,96.0,38.6,synthetic_realistic
2021-03-06,Hyderabad,91.0,36.6,synthetic_realistic
2021-03-07,Hyderabad,104.0,41.6,synthetic_realistic
2021-03-08,Hyderabad,95.0,38.0,synthetic_realistic
2021-03-09,Hyderabad,104.0,41.4,synthetic_realistic
2021-03-10,Hyderabad,96.0,38.3,synthetic_realistic
2021-03-11,Hyderabad,94.0,37.8,synthetic_realistic
2021-03-12,Hyderabad,75.0,30.1,synthetic_realistic
2021-03-13,Hyderabad,81.0,32.6,synthetic_realistic
2021-03-14,Hyderabad,90.0,35.9,synthetic_realistic
2021-03-15,Hyderabad,75.0,30.2,synthetic_realistic
2021-03-16,Hyderabad,91.0,36.4,synthetic_realistic
2021-03-17,Hyderabad,88.0,35.4,synthetic_realistic
2021-03-18,Hyderabad,94.0,37.7,synthetic_realistic
2021-03-19,Hyderabad,100.0,39.9,synthetic_realistic
2021-03-20,Hyderabad,56.0,22.5,synthetic_realistic
2021-03-21,Hyderabad,96.0,38.4,synthetic_realistic
2021-03-22,Hyderabad,45.0,18.1,synthetic_realistic
2021-03-23,Hyderabad,93.0,37.1,synthetic_realistic
2021-03-24,Hyderabad,74.0,29.8,synthetic_realistic
2021-03-25,Hyderabad,92.0,36.7,synthetic_realistic
2021-03-26,Hyderabad,83.0,33.1,synthetic_realistic
2021-03-27,Hyderabad,73.0,29.3,synthetic_realistic
2021-03-28,Hyderabad,70.0,28.0,synthetic_realistic
2021-03-29,Hyderabad,58.0,23.0,synthetic_realistic
2021-03-30,Hyderabad,68.0,27.2,synthetic_realistic
2021-03-31,Hyderabad,52.0,20.9,synthetic_realistic
2021-04-01,Hyderabad,76.0,30.3,synthetic_realistic
2021-04-02,Hyderabad,90.0,35.9,synthetic_realistic
2021-04-03,Hyderabad,56.0,22.4,synthetic_realistic
2021-04-04,Hyderabad,62.0,24.7,synthetic_realistic
2021-04-05,Hyderabad,83.0,33.1,synthetic_realistic
2021-04-06,Hyderabad,79.0,31.7,synthetic_realistic
2021-04-07,Hyderabad,81.0,32.3,synthetic_realistic
2021-04-08,Hyderabad,75.0,29.9,synthetic_realistic
2021-04-09,Hyderabad,71.0,28.3,synthetic_realistic
2021-04-10,Hyderabad,45.0,18.2,synthetic_realistic
2021-04-11,Hyderabad,92.0,36.7,synthetic_realistic
2021-04-12,Hyderabad,74.0,29.6,synthetic_realistic
2021-04-13,Hyderabad,64.0,25.7,synthetic_realistic
2021-04-14,Hyderabad,82.0,32.7,synthetic_realistic
2021-04-15,Hyderabad,86.0,34.4,synthetic_realistic
2021-04-16,Hyderabad,55.0,21.9,synthetic_realistic
2021-04-17,Hyderabad,62.0,24.8,synthetic_realistic
2021-04-18,Hyderabad,53.0,21.0,synthetic_realistic
2021-04-19,Hyderabad,58.0,23.0,synthetic_realistic
2021-04-20,Hyderabad,62.0,24.6,synthetic_realistic
2021-04-21,Hyderabad,31.0,12.4,synthetic_realistic
2021-04-22,Hyderabad,80.0,31.8,synthetic_realistic
2021-04-23,Hyderabad,66.0,26.4,synthetic_realistic
2021-04-24,Hyderabad,46.0,18.6,synthetic_realistic
2021-04-25,Hyderabad,54.0,21.8,synthetic_realistic
2021-04-26,Hyderabad,63.0,25.3,synthetic_realistic
2021-04-27,Hyderabad,30.0,12.0,synthetic_realistic
2021-04-28,Hyderabad,47.0,18.8,synthetic_realistic
2021-04-29,Hyderabad,60.0,23.9,synthetic_realistic
2021-04-30,Hyderabad,66.0,26.5,synthetic_realistic
2021-05-01,Hyderabad,54.0,21.5,synthetic_realistic
2021-05-02,Hyderabad,39.0,15.6,synthetic_realistic
2021-05-03,Hyderabad,41.0,16.4,synthetic_realistic
2021-05-04,Hyderabad,75.0,30.1,synthetic_realistic
2021-05-05,Hyderabad,65.0,26.0,synthetic_realistic
2021-05-06,Hyderabad,30.0,12.0,synthetic_realistic
2021-05-07,Hyderabad,65.0,26.0,synthetic_realistic
2021-05-08,Hyderabad,48.0,19.3,synthetic_realistic
2021-05-09,Hyderabad,30.0,12.0,synthetic_realistic
2021-05-10,Hyderabad,40.0,15.9,synthetic_realistic
2021-05-11,Hyderabad,59.0,23.4,synthetic_realistic
2021-05-12,Hyderabad,30.0,12.0,synthetic_realistic
2021-05-13,Hyderabad,54.0,21.7,synthetic_realistic
2021-05-14,Hyderabad,43.0,17.1,synthetic_realistic
2021-05-15,Hyderabad,30.0,12.0,synthetic_realistic
2021-05-16,Hyderabad,30.0,12.0,synthetic_realistic
2021-05-17,Hyderabad,42.0,16.7,synthetic_realistic
2021-05-18,Hyderabad,61.0,24.4,synthetic_realistic
2021-05-19,Hyderabad,66.0,26.5,synthetic_realistic
2021-05-20,Hyderabad,43.0,17.0,synthetic_realistic
2021-05-21,Hyderabad,51.0,20.3,synthetic_realistic
2021-05-22,Hyderabad,44.0,17.8,synthetic_realistic
2021-05-23,Hyderabad,35.0,14.1,synthetic_realistic
2021-05-24,Hyderabad,59.0,23.8,synthetic_realistic
2021-05-25,Hyderabad,49.0,19.5,synthetic_realistic
2021-05-26,Hyderabad,46.0,18.5,synthetic_realistic
2021-05-27,Hyderabad,62.0,24.9,synthetic_realistic
2021-05-28,Hyderabad,63.0,25.3,synthetic_realistic
2021-05-29,Hyderabad,36.0,14.5,synthetic_realistic
2021-05-30,Hyderabad,31.0,12.2,synthetic_realistic
2021-05-31,Hyderabad,53.0,21.2,synthetic_realistic
2021-06-01,Hyderabad,55.0,22.1,synthetic_realistic
2021-06-02,Hyderabad,67.0,26.9,synthetic_realistic
2021-06-03,Hyderabad,49.0,19.6,synthetic_realistic
2021-06-04,Hyderabad,32.0,12.7,synthetic_realistic
2021-06-05,Hyderabad,30.0,12.0,synthetic_realistic
2021-06-06,Hyderabad,33.0,13.3,synthetic_realistic
2021-06-07,Hyderabad,32.0,12.8,synthetic_realistic
2021-06-08,Hyderabad,42.0,16.7,synthetic_realistic
2021-06-09,Hyderabad,31.0,12.4,synthetic_realistic
2021-06-10,Hyderabad,30.0,12.0,synthetic_realistic
2021-06-11,Hyderabad,63.0,25.2,synthetic_realistic
2021-06-12,Hyderabad,55.0,22.1,synthetic_realistic
2021-06-13,Hyderabad,31.0,12.4,synthetic_realistic
2021-06-14,Hyderabad,30.0,12.0,synthetic_realistic
2021-06-15,Hyderabad,30.0,12.0,synthetic_realistic
2021-06-16,Hyderabad,60.0,24.1,synthetic_realistic
2021-06-17,Hyderabad,30.0,12.0,synthetic_realistic
2021-06-18,Hyderabad,30.0,12.0,synthetic_realistic
2021-06-19,Hyderabad,33.0,13.3,synthetic_realistic
2021-06-20,Hyderabad,39.0,15.8,synthetic_realistic
2021-06-21,Hyderabad,63.0,25.3,synthetic_realistic
2021-06-22,Hyderabad,41.0,16.4,synthetic_realistic
2021-06-23,Hyderabad,32.0,12.7,synthetic_realistic
2021-06-24,Hyderabad,30.0,12.0,synthetic_realistic
2021-06-25,Hyderabad,32.0,13.0,synthetic_realistic
2021-06-26,Hyderabad,30.0,12.0,synthetic_realistic
2021-06-27,Hyderabad,30.0,12.0,synthetic_realistic
2021-06-28,Hyderabad,35.0,13.9,synthetic_realistic
2021-06-29,Hyderabad,42.0,16.8,synthetic_realistic
2021-06-30,Hyderabad,41.0,16.6,synthetic_realistic
2021-07-01,Hyderabad,30.0,12.0,synthetic_realistic
2021-07-02,Hyderabad,30.0,12.0,synthetic_realistic
2021-07-03,Hyderabad,46.0,18.4,synthetic_realistic
2021-07-04,Hyderabad,30.0,12.0,synthetic_realistic
2021-07-05,Hyderabad,37.0,15.0,synthetic_realistic
2021-07-06,Hyderabad,80.0,32.0,synthetic_realistic
2021-07-07,Hyderabad,34.0,13.8,synthetic_realistic
2021-07-08,Hyderabad,45.0,18.0,synthetic_realistic
2021-07-09,Hyderabad,46.0,18.5,synthetic_realistic
2021-07-10,Hyderabad,30.0,12.0,synthetic_realistic
2021-07-11,Hyderabad,56.0,22.6,synthetic_realistic
2021-07-12,Hyderabad,30.0,12.0,synthetic_realistic
2021-07-13,Hyderabad,30.0,12.0,synthetic_realistic
2021-07-14,Hyderabad,31.0,12.2,synthetic_realistic
2021-07-15,Hyderabad,47.0,18.9,synthetic_realistic
2021-07-16,Hyderabad,51.0,20.5,synthetic_realistic
2021-07-17,Hyderabad,30.0,12.1,synthetic_realistic
2021-07-18,Hyderabad,30.0,12.0,synthetic_realistic
2021-07-19,Hyderabad,45.0,18.1,synthetic_realistic
2021-07-20,Hyderabad,54.0,21.5,synthetic_realistic
2021-07-21,Hyderabad,60.0,23.8,synthetic_realistic
2021-07-22,Hyderabad,36.0,14.4,synthetic_realistic
2021-07-23,Hyderabad,64.0,25.7,synthetic_realistic
2021-07-24,Hyderabad,36.0,14.6,synthetic_realistic
2021-07-25,Hyderabad,51.0,20.4,synthetic_realistic
2021-07-26,Hyderabad,60.0,24.1,synthetic_realistic
2021-07-27,Hyderabad,35.0,14.2,synthetic_realistic
2021-07-28,Hyderabad,54.0,21.6,synthetic_realistic
2021-07-29,Hyderabad,57.0,22.9,synthetic_realistic
2021-07-30,Hyderabad,49.0,19.7,synthetic_realistic
2021-07-31,Hyderabad,30.0,12.0,synthetic_realistic
2021-08-01,Hyderabad,30.0,12.0,synthetic_realistic
2021-08-02,Hyderabad,60.0,24.1,synthetic_realistic
2021-08-03,Hyderabad,39.0,15.4,synthetic_realistic
2021-08-04,Hyderabad,36.0,14.3,synthetic_realistic
2021-08-05,Hyderabad,67.0,26.6,synthetic_realistic
2021-08-06,Hyderabad,34.0,13.7,synthetic_realistic
2021-08-07,Hyderabad,50.0,20.0,synthetic_realistic
2021-08-08,Hyderabad,30.0,12.0,synthetic_realistic
2021-08-09,Hyderabad,45.0,18.0,synthetic_realistic
2021-08-10,Hyderabad,35.0,14.1,synthetic_realistic
2021-08-11,Hyderabad,30.0,12.0,synthetic_realistic
2021-08-12,Hyderabad,44.0,17.5,synthetic_realistic
2021-08-13,Hyderabad,65.0,25.9,synthetic_realistic
2021-08-14,Hyderabad,54.0,21.5,synthetic_realistic
2021-08-15,Hyderabad,63.0,25.2,synthetic_realistic
2021-08-16,Hyderabad,37.0,14.8,synthetic_realistic
2021-08-17,Hyderabad,81.0,32.3,synthetic_realistic
2021-08-18,Hyderabad,37.0,14.8,synthetic_realistic
2021-08-19,Hyderabad,72.0,28.9,synthetic_realistic
2021-08-20,Hyderabad,40.0,16.2,synthetic_realistic
2021-08-21,Hyderabad,38.0,15.2,synthetic_realistic
2021-08-22,Hyderabad,35.0,14.0,synthetic_realistic
2021-08-23,Hyderabad,40.0,16.0,synthetic_realistic
2021-08-24,Hyderabad,30.0,12.0,synthetic_realistic
2021-08-25,Hyderabad,40.0,16.2,synthetic_realistic
2021-08-26,Hyderabad,49.0,19.4,synthetic_realistic
2021-08-27,Hyderabad,55.0,21.9,synthetic_realistic
2021-08-28,Hyderabad,37.0,14.8,synthetic_realistic
2021-08-29,Hyderabad,37.0,14.8,synthetic_realistic
2021-08-30,Hyderabad,72.0,28.6,synthetic_realistic
2021-08-31,Hyderabad,56.0,22.3,synthetic_realistic
2021-09-01,Hyderabad,62.0,25.0,synthetic_realistic
2021-09-02,Hyderabad,38.0,15.1,synthetic_realistic
2021-09-03,Hyderabad,61.0,24.5,synthetic_realistic
2021-09-04,Hyderabad,46.0,18.2,synthetic_realistic
2021-09-05,Hyderabad,77.0,30.8,synthetic_realistic
2021-09-06,Hyderabad,55.0,22.0,synthetic_realistic
2021-09-07,Hyderabad,56.0,22.3,synthetic_realistic
2021-09-08,Hyderabad,88.0,35.3,synthetic_realistic
2021-09-09,Hyderabad,69.0,27.7,synthetic_realistic
2021-09-10,Hyderabad,68.0,27.2,synthetic_realistic
2021-09-11,Hyderabad,58.0,23.1,synthetic_realistic
2021-09-12,Hyderabad,59.0,23.5,synthetic_realistic
2021-09-13,Hyderabad,77.0,30.7,synthetic_realistic
2021-09-14,Hyderabad,39.0,15.6,synthetic_realistic
2021-09-15,Hyderabad,51.0,20.2,synthetic_realistic
2021-09-16,Hyderabad,70.0,27.9,synthetic_realistic
2021-09-17,Hyderabad,80.0,32.1,synthetic_realistic
2021-09-18,Hyderabad,69.0,27.7,synthetic_realistic
2021-09-19,Hyderabad,80.0,31.9,synthetic_realistic
2021-09-20,Hyderabad,93.0,37.3,synthetic_realistic
2021-09-21,Hyderabad,82.0,32.6,synthetic_realistic
2021-09-22,Hyderabad,66.0,26.2,synthetic_realistic
2021-09-23,Hyderabad,81.0,32.3,synthetic_realistic
